args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0187 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0188 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0189 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0190 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0191 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0192 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0193 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0194 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0195 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0196 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0197 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0198 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0199 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0200 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0201 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0202 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0203 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0204 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0205 loss_train: 1.8110 loss_val: 1.9136
Run:01 Epoch: 0206 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0207 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0208 loss_train: 1.8110 loss_val: 1.9135
Run:01 Epoch: 0209 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0210 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0211 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0212 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0213 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0214 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0215 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0216 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0217 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0218 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0219 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0220 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0221 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0222 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0223 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0224 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0225 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0226 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0227 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0228 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0229 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0230 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0231 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0232 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0233 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0234 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0235 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0236 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0237 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0238 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0239 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0240 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0241 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0242 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0243 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0244 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0245 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0246 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0247 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0248 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0249 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0250 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0251 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0252 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0253 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0254 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0255 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0256 loss_train: 1.8109 loss_val: 1.9135
Run:01 Epoch: 0257 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0258 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0259 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0260 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0261 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0262 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0263 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0264 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0265 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0266 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0267 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0268 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0269 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0270 loss_train: 1.8109 loss_val: 1.9134
Run:01 Epoch: 0271 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0272 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0273 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0274 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0275 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0276 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0277 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0278 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0279 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0280 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0281 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0282 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0283 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0284 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0285 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0286 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0287 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0288 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0289 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0290 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0291 loss_train: 1.8108 loss_val: 1.9134
